ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,layer,head,fit_target,order,phase_chart,jet_chart,chart_scale,num_centers,num_features
1e-08,0.8310195694648144,2.540743130221959e-05,2.9591999891578076,2380227513707.7197,45.75565591000649,0,0,axis_plus_residual,1,raw,bounded,16.0,17,103
1e-06,0.8310136469199332,2.540832179972706e-05,2.934867549433945,2380227513707.7197,45.75565591000649,0,0,axis_plus_residual,1,raw,bounded,16.0,17,103
0.0001,0.813268884991213,2.8076375243846585e-05,1.6173289401531616,2380227513707.7197,45.75565591000649,0,0,axis_plus_residual,1,raw,bounded,16.0,17,103
0.01,0.7450643659280902,3.833141854743426e-05,0.12728559662348526,2380227513707.7197,45.75565591000649,0,0,axis_plus_residual,1,raw,bounded,16.0,17,103
1e-08,0.7476698617461223,3.793966338504529e-05,7.698533185040735,2696763021141.931,39.25014903972066,0,0,axis_plus_residual,1,asinh,raw,2.0,17,103
1e-06,0.7470715669847712,3.802962133461e-05,6.573103669094902,2696763021141.931,39.25014903972066,0,0,axis_plus_residual,1,asinh,raw,2.0,17,103
0.0001,0.7087991010661092,4.3784163712772925e-05,1.3596013876273052,2696763021141.931,39.25014903972066,0,0,axis_plus_residual,1,asinh,raw,2.0,17,103
0.01,0.6526105345644855,5.223252154236754e-05,0.1294023700307428,2696763021141.931,39.25014903972066,0,0,axis_plus_residual,1,asinh,raw,2.0,17,103
1e-08,0.7751090744769095,3.381397906623714e-05,3.0853906793621184,2496928691610.8213,44.55702890562421,0,0,axis_plus_residual,1,asinh,raw,4.0,17,103
1e-06,0.77510188621392,3.381505987362715e-05,3.0570378147463506,2496928691610.8213,44.55702890562421,0,0,axis_plus_residual,1,asinh,raw,4.0,17,103
0.0001,0.755733357732488,3.6727258376486326e-05,1.6054395682371776,2496928691610.8213,44.55702890562421,0,0,axis_plus_residual,1,asinh,raw,4.0,17,103
0.01,0.6865498702392359,4.712949667216141e-05,0.12432314154708352,2496928691610.8213,44.55702890562421,0,0,axis_plus_residual,1,asinh,raw,4.0,17,103
1e-08,0.8164447946562803,2.7598854229243353e-05,2.880876558982363,2380216376068.702,46.08792037249862,0,0,axis_plus_residual,1,asinh,raw,8.0,17,103
1e-06,0.8164393036918557,2.7599679835504136e-05,2.857707945230032,2380216376068.702,46.08792037249862,0,0,axis_plus_residual,1,asinh,raw,8.0,17,103
0.0001,0.799669729285605,3.0121106774380094e-05,1.591473477382766,2380216376068.702,46.08792037249862,0,0,axis_plus_residual,1,asinh,raw,8.0,17,103
0.01,0.7326322410532965,4.02006785421954e-05,0.1200824184768515,2380216376068.702,46.08792037249862,0,0,axis_plus_residual,1,asinh,raw,8.0,17,103
1e-08,0.8266587526978945,2.6063111679386192e-05,2.9802711644838182,2379757003878.852,45.92272197322687,0,0,axis_plus_residual,1,asinh,raw,16.0,17,103
1e-06,0.8266526231300179,2.606403330430006e-05,2.9552619790296664,2379757003878.852,45.92272197322687,0,0,axis_plus_residual,1,asinh,raw,16.0,17,103
0.0001,0.8086249081360148,2.8774630790621128e-05,1.6139253918947634,2379757003878.852,45.92272197322687,0,0,axis_plus_residual,1,asinh,raw,16.0,17,103
0.01,0.7410874721970158,3.8929373316211236e-05,0.12384914497065229,2379757003878.852,45.92272197322687,0,0,axis_plus_residual,1,asinh,raw,16.0,17,103
1e-08,0.7642517950107901,3.5446449650498e-05,3.9671391755779135,2650761685185.0713,39.912151466245405,0,0,axis_plus_residual,1,asinh,bounded,2.0,17,103
1e-06,0.7642232425356459,3.545074272188169e-05,3.8783528424544955,2650761685185.0713,39.912151466245405,0,0,axis_plus_residual,1,asinh,bounded,2.0,17,103
0.0001,0.7376945018653887,3.943953097374742e-05,1.305536272915817,2650761685185.0713,39.912151466245405,0,0,axis_plus_residual,1,asinh,bounded,2.0,17,103
0.01,0.6820351268857683,4.780832102618324e-05,0.15135973612558812,2650761685185.0713,39.912151466245405,0,0,axis_plus_residual,1,asinh,bounded,2.0,17,103
1e-08,0.7754192320057798,3.3767344635950275e-05,2.3073984715363594,2471310694446.2266,44.82081875981638,0,0,axis_plus_residual,1,asinh,bounded,4.0,17,103
1e-06,0.7754169332104797,3.3767690276469e-05,2.2953220446915403,2471310694446.2266,44.82081875981638,0,0,axis_plus_residual,1,asinh,bounded,4.0,17,103
0.0001,0.7655888765606678,3.524540975779335e-05,1.5124252481307563,2471310694446.2266,44.82081875981638,0,0,axis_plus_residual,1,asinh,bounded,4.0,17,103
0.01,0.6912096323815593,4.64288676931678e-05,0.12361339029216835,2471310694446.2266,44.82081875981638,0,0,axis_plus_residual,1,asinh,bounded,4.0,17,103
1e-08,0.816899067437687,2.7530551027212763e-05,2.675214058058054,2374687414355.7017,46.1568438901546,0,0,axis_plus_residual,1,asinh,bounded,8.0,17,103
1e-06,0.816894956516766,2.753116913394002e-05,2.6565548824746403,2374687414355.7017,46.1568438901546,0,0,axis_plus_residual,1,asinh,bounded,8.0,17,103
0.0001,0.8027112911786121,2.9663785920105573e-05,1.5712019465579778,2374687414355.7017,46.1568438901546,0,0,axis_plus_residual,1,asinh,bounded,8.0,17,103
0.01,0.7339896723906789,3.999657891158851e-05,0.11965266547669207,2374687414355.7017,46.1568438901546,0,0,axis_plus_residual,1,asinh,bounded,8.0,17,103
1e-08,0.8268989787975811,2.6026991945843927e-05,2.924746914408858,2378103815061.251,45.941566141759495,0,0,axis_plus_residual,1,asinh,bounded,16.0,17,103
1e-06,0.8268932847387729,2.602784808881589e-05,2.9010807036661674,2378103815061.251,45.941566141759495,0,0,axis_plus_residual,1,asinh,bounded,16.0,17,103
